,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1970.0,174.0,30.0,0.0,224.0
1,1886.0,286.0,114.0,1.0,510.0
2,1746.0,390.0,254.0,2.0,900.0
3,1558.0,433.0,442.0,3.0,1333.0
4,1332.0,408.0,668.0,4.0,1741.0
5,1129.0,264.0,871.0,5.0,2005.0
6,993.0,138.0,1007.0,6.0,2143.0
7,915.0,53.0,1085.0,7.0,2196.0
8,885.0,22.0,1115.0,8.0,2218.0
9,877.0,3.0,1123.0,9.0,2221.0
10,876.0,3.0,1124.0,10.0,2224.0
11,875.0,1.0,1125.0,11.0,2225.0
12,875.0,0.0,1125.0,12.0,2225.0
13,875.0,0.0,1125.0,13.0,2225.0
14,875.0,0.0,1125.0,14.0,2225.0
15,875.0,0.0,1125.0,15.0,2225.0
16,875.0,0.0,1125.0,16.0,2225.0
17,875.0,0.0,1125.0,17.0,2225.0
18,875.0,0.0,1125.0,18.0,2225.0
19,875.0,0.0,1125.0,19.0,2225.0
20,875.0,0.0,1125.0,20.0,2225.0
